team,salary,player,position,season
Detroit Pistons,1416852,Sviatoslav Mykhailiuk, SG,2019-2020
Minnesota Timberwolves,1416852,Keita Bates-Diop, SF,2019-2020
Dallas Mavericks,1416852,Jalen Brunson, PG,2019-2020
New Orleans Pelicans,1416852,Kenrich Williams, SF,2019-2020
New Orleans Pelicans,1416852,Dairis Bertans, G,2019-2020
Boston Celtics,1416852,Yante Maten, F,2019-2020
Washington Wizards,1416842,Isaac Bonga, SF,2019-2020
Washington Wizards,1416842,Tarik Phillip, G,2019-2020
Minnesota Timberwolves,1400000,Jaylen Nowell, SG,2019-2020
Atlanta Hawks,1400000,Bruno Fernando, C,2019-2020
Memphis Grizzlies,1378242,Dakari Johnson, C,2019-2020
Utah Jazz,1378242,Kyle Collinsworth, G,2019-2020
San Antonio Spurs,1378242,Brandon Paul, G,2019-2020
Milwaukee Bucks,1378242,Jaylen Morris, G,2019-2020
Miami Heat,1378242,Rodney Purvis, G,2019-2020
Los Angeles Lakers,1378242,David Stockton, G,2019-2020
Indiana Pacers,1378242,Ike Anigbogu, C,2019-2020
Houston Rockets,1378242,Zhou Qi, C,2019-2020
Houston Rockets,1378242,Aaron Jackson, F,2019-2020
Portland Trail Blazers,1364204,Carmelo Anthony, PF,2019-2020
Atlanta Hawks,1349464,Jabari Bird, G,2019-2020
San Antonio Spurs,1349383,Ben Moore, F,2019-2020
Houston Rockets,1349383,James Nunnally, G,2019-2020
Cleveland Cavaliers,1290960,Kevin Porter Jr., SG,2019-2020
Boston Celtics,1228026,Carsen Edwards, PG,2019-2020
Washington Wizards,1187862,Okaro White, F,2019-2020
Charlotte Hornets,1173310,Cody Martin, SF,2019-2020
Washington Wizards,1052909,Gary Payton II, PG,2019-2020
Denver Nuggets,1042584,Nick Young, G,2019-2020
Washington Wizards,1000000,Admiral Schofield, SG,2019-2020
LA Clippers,1000000,Terance Mann, SG,2019-2020
Washington Wizards,948580,Ron Baker, G,2019-2020
Brooklyn Nets,903111,David Nwaba, SG,2019-2020
Charlotte Hornets,898310,Jalen McDaniels, PF,2019-2020
Charlotte Hornets,898310,Caleb Martin, SF,2019-2020
Toronto Raptors,898310,Dewan Hernandez, C,2019-2020
Toronto Raptors,898310,Terence Davis, SG,2019-2020
Toronto Raptors,898310,Matt Thomas, SG,2019-2020
Washington Wizards,898310,Justin Robinson, PG,2019-2020
Utah Jazz,898310,Miye Oni, SG,2019-2020
Utah Jazz,898310,Stanton Kidd, SF,2019-2020
Sacramento Kings,898310,Justin James, SG,2019-2020
Phoenix Suns,898310,Jalen Lecque, PG,2019-2020
New York Knicks,898310,Ignas Brazdeikis, SF,2019-2020
Brooklyn Nets,898310,Nicolas Claxton, PF,2019-2020
Minnesota Timberwolves,898310,Naz Reid, C,2019-2020
Miami Heat,898310,KZ Okpala, SF,2019-2020
Los Angeles Lakers,898310,Talen Horton-Tucker, SG,2019-2020
Golden State Warriors,898310,Alen Smailagic, PF,2019-2020
Golden State Warriors,898310,Eric Paschall, PF,2019-2020
Denver Nuggets,898310,Vlatko Cancar, SF,2019-2020
Chicago Bulls,898310,Daniel Gafford, PF,2019-2020
Chicago Bulls,898310,Max Strus, SG,2019-2020
Boston Celtics,898310,Javonte Green, SG,2019-2020
Golden State Warriors,842327,Damion Lee, SG,2019-2020
Orlando Magic,838464,Isaiah Briscoe, G,2019-2020
Utah Jazz,746054,Juwan Morgan, SF,2019-2020
Brooklyn Nets,654469,Timothe Luwawu-Cabarrot, SG,2019-2020
Golden State Warriors,654469,Marquese Chriss, C,2019-2020
Charlotte Hornets,604278,Marvin Williams, PF,2019-2020
Charlotte Hornets,595122,Michael Kidd-Gilchrist, SF,2019-2020
Utah Jazz,578573,Rayjon Tucker, SG,2019-2020
Houston Rockets,563347,Chris Clemons, PG,2019-2020
Orlando Magic,555409,Gary Clark, PF,2019-2020
Atlanta Hawks,522738,Brandon Goodwin, PG,2019-2020
LA Clippers,512721,Reggie Jackson, PG,2019-2020
San Antonio Spurs,512721,DeMarre Carroll, SF,2019-2020
Washington Wizards,482144,Anzejs Pasecniks, C,2019-2020
Miami Heat,466918,Chris Silva, PF,2019-2020
Utah Jazz,439475,Jeff Green, PF,2019-2020
Los Angeles Lakers,384541,Troy Daniels, SG,2019-2020
Miami Heat,375385,Dion Waiters, SG,2019-2020
Philadelphia 76ers,350189,Norvel Pelle, SF,2019-2020
Golden State Warriors,350189,Juan Toscano-Anderson, SF,2019-2020
Golden State Warriors,350189,Ky Bowman, PG,2019-2020
San Antonio Spurs,245686,Tyler Zeller, C,2019-2020
Phoenix Suns,208509,Jimmer Fredette, G,2019-2020
Memphis Grizzlies,197933,Jontay Porter, PF,2019-2020
Memphis Grizzlies,183115,Anthony Tolliver, PF,2019-2020
Phoenix Suns,183115,Tyler Johnson, SG,2019-2020
Oklahoma City Thunder,155647,Luguentz Dort, SG,2019-2020
