team,salary,player,position,season
Memphis Grizzlies,12500000,Miles Plumlee, C,2019-2020
Orlando Magic,12500000,Terrence Ross, SG,2019-2020
Milwaukee Bucks,12500000,Nikola Mirotic, F,2019-2020
San Antonio Spurs,12428571,Patty Mills, PG,2019-2020
Indiana Pacers,12400000,Tyreke Evans, G,2019-2020
LA Clippers,12345680,Patrick Beverley, PG,2019-2020
Sacramento Kings,12195122,Trevor Ariza, SF,2019-2020
Milwaukee Bucks,12093023,Brook Lopez, C,2019-2020
Sacramento Kings,12000000,Cory Joseph, PG,2019-2020
Utah Jazz,11954546,Joe Ingles, SG,2019-2020
Dallas Mavericks,11692308,Zach Randolph, F,2019-2020
Detroit Pistons,11392857,Tony Snell, SF,2019-2020
Minnesota Timberwolves,11301219,Robert Covington, PF,2019-2020
Miami Heat,11286516,Meyers Leonard, C,2019-2020
Chicago Bulls,11286516,Omer Asik, C,2019-2020
New York Knicks,11011234,Maurice Harkless, SF,2019-2020
Indiana Pacers,10810000,T.J. Warren, SF,2019-2020
Oklahoma City Thunder,10740740,Andre Roberson, SG,2019-2020
Brooklyn Nets,10605600,Spencer Dinwiddie, PG,2019-2020
Indiana Pacers,10500000,Jeremy Lamb, SG,2019-2020
Dallas Mavericks,10259375,Dwight Powell, C,2019-2020
Toronto Raptors,10116576,Norman Powell, SG,2019-2020
Philadelphia 76ers,10116576,Josh Richardson, SG,2019-2020
Indiana Pacers,10000000,Darren Collison, G,2019-2020
Chicago Bulls,10000000,Tomas Satoransky, SG,2019-2020
Brooklyn Nets,9881598,DeAndre Jordan, C,2019-2020
New Orleans Pelicans,9757440,Zion Williamson, SF,2019-2020
Orlando Magic,9745200,Markelle Fultz, PG,2019-2020
Detroit Pistons,9732396,John Henson, PF,2019-2020
Cleveland Cavaliers,9607500,Matthew Dellavedova, PG,2019-2020
Utah Jazz,9600000,Dante Exum, PG,2019-2020
Phoenix Suns,9562920,Deandre Ayton, C,2019-2020
Dallas Mavericks,9473684,Delon Wright, PG,2019-2020
Toronto Raptors,9346153,Fred VanVleet, SG,2019-2020
Denver Nuggets,9346153,Jerami Grant, PF,2019-2020
Memphis Grizzlies,9258000,Tyus Jones, PG,2019-2020
Orlando Magic,9258000,Al-Farouq Aminu, PF,2019-2020
Milwaukee Bucks,9133907,George Hill, PG,2019-2020
Memphis Grizzlies,9073050,Kyle Anderson, SF,2019-2020
New York Knicks,9000000,Taj Gibson, C,2019-2020
Memphis Grizzlies,8730240,Ja Morant, PG,2019-2020
New Orleans Pelicans,8719320,Lonzo Ball, PG,2019-2020
New Orleans Pelicans,8664928,E'Twaun Moore, SG,2019-2020
Sacramento Kings,8556120,Marvin Bagley III, PF,2019-2020
Sacramento Kings,8529386,Bogdan Bogdanovic, SG,2019-2020
Houston Rockets,8349039,P.J. Tucker, PF,2019-2020
Washington Wizards,8333333,C.J. Miles, SG,2019-2020
Chicago Bulls,8156500,Cristiano Felicio, PF,2019-2020
Philadelphia 76ers,8113930,Ben Simmons, PG,2019-2020
